CODIGO;NEIGHBORHOOD;LATITUDE;LONGITUDE;RESIDENCE;POPULATION;COVID_RATE;COVID_CLASS
61;Vila Buriti;-3.15;-59.96;531;1817;49.02;0 a 49
20;Distrito Industrial II;-3.04;-59.89;1036;3899;42.35;0 a 49
45;Puraquequara;-3.05;-59.86;1383;5748;211.47;100 a 499
28;Lago Azul;-2.97;-60.00;1872;7621;278.35;100 a 499
60;Tarumã-Açu;-2.98;-60.10;3107;12003;273.98;100 a 499
11;Colônia Antônio Aleixo;-3.10;-59.91;3884;16568;367.98;100 a 499
17;Crespo;-3.13;-59.99;4016;15408;295.60;100 a 499
13;Colônia Santo Antônio;-3.03;-60.01;4604;17611;351.05;100 a 499
30;Mauazinho;-3.11;-59.93;5582;23532;280.33;100 a 499
4;Armando Mendes;-3.09;-59.94;6816;28274;353.13;100 a 499
31;Monte das Oliveiras;-3.01;-60.00;9983;40135;386.45;100 a 499
14;Colônia Terra Nova;-3.02;-60.01;11430;45056;479.85;100 a 499
58;Tancredo Neves;-3.06;-59.94;11697;48809;361.79;100 a 499
24;Gilberto Mestrinho;-3.07;-59.93;13638;55287;238.66;100 a 499
10;Cidade de Deus;-3.02;-59.95;17519;70055;354.27;100 a 499
37;Novo Aleixo;-3.05;-59.97;24038;96529;296.52;100 a 499
27;Jorge Teixeira;-3.03;-59.92;27445;112720;273.53;100 a 499
33;Nossa Senhora Aparecida;-3.13;-60.03;1997;6981;687.84;500 a 999
12;Colônia Oliveira Machado;-3.15;-60.00;2023;8500;710.23;500 a 999
44;Presidente Vargas;-3.12;-60.03;2030;7321;724.74;500 a 999
49;São Geraldo;-3.11;-60.03;2213;7599;863.99;500 a 999
25;Glória;-3.12;-60.03;2259;8977;542.35;500 a 999
62;Vila da Prata;-3.11;-60.05;2745;11032;755.20;500 a 999
5;Betânia;-3.13;-60.00;2904;10936;913.80;500 a 999
32;Morro da Liberdade;-3.14;-60.00;3108;11899;892.28;500 a 999
52;São Lázaro;-3.14;-59.99;3293;11926;591.01;500 a 999
46;Raiz;-3.13;-60.00;3741;14116;741.40;500 a 999
53;São Raimundo;-3.12;-60.04;3901;15383;541.62;500 a 999
18;Da Paz;-3.06;-60.03;3972;15185;559.69;500 a 999
22;Educandos;-3.14;-60.01;4011;15836;579.51;500 a 999
38;Novo Israel;-3.03;-60.01;4068;16813;520.18;500 a 999
48;São Francisco;-3.11;-60.00;4229;16812;768.65;500 a 999
54;Santo Agostinho;-3.09;-60.07;4336;16590;631.87;500 a 999
36;Nova Esperança;-3.09;-60.06;4554;17683;797.76;500 a 999
29;Lírio do Vale;-3.08;-60.07;5543;21532;540.56;500 a 999
50;São Jorge;-3.10;-60.04;5881;21629;774.34;500 a 999
56;Santa Etelvina;-2.98;-60.00;6436;26209;804.82;500 a 999
59;Tarumã;-3.02;-60.06;7027;27763;665.94;500 a 999
63;Zumbi dos Palmares;-3.08;-59.95;8078;35085;530.67;500 a 999
47;Redenção;-3.06;-60.04;8724;35056;542.30;500 a 999
16;Coroado;-3.09;-59.97;13059;51289;741.10;500 a 999
26;Japiim;-3.12;-59.98;13502;53354;700.57;500 a 999
35;Nova Cidade;-3.01;-59.98;15882;59530;536.28;500 a 999
51;São José Operário;-3.07;-59.96;16197;65981;681.22;500 a 999
3;Alvorada;-3.07;-60.04;16716;64492;670.71;500 a 999
15;Compensa;-3.11;-60.06;18568;75799;678.25;500 a 999
9;Cidade Nova;-3.03;-59.98;31263;121045;806.24;500 a 999
19;Distrito Industrial I;-3.12;-59.96;711;2704;2845.66;Superior 1000
42;Ponta Negra;-3.04;-60.09;1403;4983;3841.76;Superior 1000
57;Santa Luzia;-3.14;-60.01;1731;6497;1027.80;Superior 1000
1;Adrianópolis;-3.10;-60.01;2619;8825;2448.99;Superior 1000
39;Praça 14 de Janeiro;-3.12;-60.01;2780;10243;1068.80;Superior 1000
8;Chapada;-3.09;-60.03;3744;11132;1311.27;Superior 1000
41;Planalto;-3.06;-60.06;4251;16283;1069.79;Superior 1000
21;Dom Pedro I;-3.09;-60.04;4465;17041;1209.09;Superior 1000
34;Nossa Senhora das Graças;-3.10;-60.02;4489;14965;1051.43;Superior 1000
6;Cachoeirinha;-3.13;-60.01;4783;16895;1003.07;Superior 1000
55;Santo Antônio;-3.12;-60.04;5148;19757;1107.33;Superior 1000
2;Aleixo;-3.08;-59.99;5498;20630;1648.43;Superior 1000
7;Centro;-3.13;-60.02;9540;32905;1270.39;Superior 1000
40;Petrópolis;-3.11;-59.99;10546;41132;1101.85;Superior 1000
43;Parque 10 de Novembro;-3.08;-60.00;11871;41153;1440.72;Superior 1000
23;Flores;-3.06;-60.01;13504;48042;1211.66;Superior 1000
